"Date","Open","High","Low","Close","Volume","Market Cap"
"07-11-2018",218.9,221.65,216.8,217.18,1927830000,22383497662
"06-11-2018",209.47,218.45,207.89,218.45,1856940000,22445690692
"05-11-2018",207.1,210.82,206.57,209.09,1613510000,21540996877
"04-11-2018",200.16,211.27,198.99,207.49,1749300000,21371416840
"03-11-2018",200.74,200.74,199.53,200.19,1307150000,20615439151
"02-11-2018",198.98,201.27,198.75,200.63,1451870000,20657629735
"01-11-2018",197.54,203.75,197.33,198.87,1336700000,20472105764
"31-10-2018",197.65,198.34,196.53,197.38,1442380000,20314628127
"30-10-2018",197.2,198.12,196.35,197.56,1363500000,20328580026
"29-10-2018",205.17,205.6,195.73,197.25,1517230000,20292811278
"28-10-2018",204.51,205.92,203.52,205.37,1139140000,21123907349
"27-10-2018",203.36,206.08,203.13,204.21,1084810000,21000852987
"26-10-2018",202.34,204.78,201.55,203.33,1161310000,20906130835
"25-10-2018",203.87,204.13,201.82,202.72,1102900000,20839259066
"24-10-2018",204.13,205.58,203.35,203.85,1102220000,20951603018
"23-10-2018",204.02,205.15,201.91,204.34,1237490000,20997181867
"22-10-2018",205.17,206.93,203.38,204.04,1328980000,20962977292
"21-10-2018",205.39,208.16,204.62,205.14,1190300000,21071630786
"20-10-2018",203.51,206.22,203.09,205.43,1238780000,21097037289
"19-10-2018",203.26,204.66,201.84,203.73,1264480000,20917973393
"18-10-2018",207.4,208.47,201.74,203.35,1365860000,20875341345
"17-10-2018",210.22,211.13,205.93,207.08,1444130000,21254117736
"16-10-2018",209.63,212.17,207.98,210.12,1532280000,21561538445
"15-10-2018",195.27,222.12,194.16,209.7,2865830000,21514574462
"14-10-2018",199.69,201.83,195.24,195.72,1169260000,20075397007
"13-10-2018",196.36,201.28,196.36,199.84,1167610000,20494529773
"12-10-2018",188.71,199.4,188.71,196.73,1487900000,20171157774
"11-10-2018",225.61,225.61,189.28,189.5,2167620000,19426181717
"10-10-2018",227.62,227.71,224.5,225.77,1384040000,23139713070
"09-10-2018",229.71,230.16,226.4,227.98,1405130000,23361891401
"08-10-2018",226.51,230.76,224.56,229.25,1470740000,23487673000
"07-10-2018",225.44,226.37,223.0,226.12,1470480000,23161767973
"06-10-2018",227.55,227.93,224.25,225.12,1505070000,23054817089
"05-10-2018",222.27,228.32,220.96,227.6,1547330000,23304234601
"04-10-2018",220.45,226.15,220.09,222.22,1479500000,22748580859
"03-10-2018",226.41,226.46,213.97,220.49,1683930000,22567089086
"02-10-2018",231.1,231.17,225.84,227.18,1542080000,23247403474
"01-10-2018",233.22,234.15,226.94,230.77,1597500000,23609728018
"30-09-2018",231.33,236.99,228.44,232.85,1765560000,23817805502
"29-09-2018",221.71,234.01,216.08,231.63,2208720000,23688983896
"28-09-2018",229.04,231.75,218.67,222.4,2018120000,22740233568
"27-09-2018",215.44,230.61,212.65,228.49,2030320000,23358464739
"26-09-2018",218.65,221.44,209.11,215.85,1756100000,22061164303
"25-09-2018",228.33,228.33,206.49,218.5,2120360000,22328327983
"24-09-2018",244.84,245.11,227.49,228.73,1748740000,23368514475
"23-09-2018",240.99,247.46,237.86,244.33,1693470000,24957339670
"22-09-2018",247.34,251.2,233.81,240.48,1921820000,24559189741
"21-09-2018",225.25,248.39,221.57,246.58,2836200000,25177561991
"20-09-2018",210.29,224.82,207.79,224.59,1782070000,22927300808
"19-09-2018",209.47,213.87,201.66,209.97,1733330000,21430323331
"18-09-2018",197.09,213.36,195.93,209.97,1800640000,21426628309
"17-09-2018",221.58,224.26,195.31,197.88,2019910000,20187902505
"16-09-2018",222.8,222.8,211.12,220.59,1502260000,22500748646
"15-09-2018",209.81,226.6,209.61,223.07,1670490000,22749647321
"14-09-2018",212.67,222.79,204.87,211.75,2232190000,21590366996
"13-09-2018",183.68,214.0,183.68,211.35,2330720000,21545775837
"12-09-2018",185.42,185.59,170.26,183.33,1874850000,18685319378
"11-09-2018",198.18,198.51,180.6,185.07,1568900000,18858381966
"10-09-2018",197.85,201.88,189.58,197.08,1502960000,20078523984
"09-09-2018",198.38,207.67,188.31,196.92,1585980000,20058708800
"08-09-2018",217.91,220.37,193.26,197.95,1517200000,20159309964
"07-09-2018",229.53,233.9,217.07,217.2,1678260000,22115522904
"06-09-2018",231.65,231.75,218.12,230.22,2097310000,23435751842
"05-09-2018",286.05,288.16,232.33,232.33,2390390000,23646371777
"04-09-2018",289.3,291.58,284.25,285.72,1554870000,29074743101
"03-09-2018",295.18,295.59,287.43,289.26,1394490000,29428616901
"02-09-2018",295.45,298.69,290.93,294.37,1321050000,29942718225
"01-09-2018",283.5,301.14,283.5,295.34,1546630000,30035327410
"31-08-2018",284.12,284.55,278.51,283.0,1411910000,28774922508
"30-08-2018",289.75,291.24,275.21,284.11,1513100000,28881058148
"29-08-2018",296.16,297.07,287.29,289.31,1474460000,29404459725
"28-08-2018",286.65,297.4,283.57,296.5,1513350000,30128902937
"27-08-2018",275.35,285.6,273.65,285.6,1406790000,29015874948
"26-08-2018",279.52,279.52,272.44,275.2,1206650000,27953028997
"25-08-2018",283.28,283.51,278.47,279.65,1208360000,28399212923
"24-08-2018",278.11,283.3,273.86,282.97,1450170000,28730705349
"23-08-2018",271.75,279.55,271.09,277.1,1271160000,28129662664
"22-08-2018",281.97,297.49,265.0,271.34,1507660000,27539119679
"21-08-2018",273.33,285.97,273.33,281.94,1164120000,28609531323
"20-08-2018",301.38,304.37,273.51,274.31,1413790000,27829775231
"19-08-2018",295.67,307.1,291.33,300.83,1447910000,30514025774
"18-08-2018",316.79,320.45,286.55,295.81,1764020000,29998584852
"17-08-2018",287.68,316.17,287.35,315.73,1995460000,32011921283
"16-08-2018",282.74,298.48,280.93,288.05,1552970000,29199228646
"15-08-2018",280.39,303.59,280.12,282.36,1878150000,28617473116
"14-08-2018",286.37,286.37,254.65,278.93,2137850000,28263969132
"13-08-2018",320.21,323.55,284.93,286.5,1751190000,29024490503
"12-08-2018",320.82,328.59,318.6,319.57,1625420000,32368768332
"11-08-2018",334.26,334.26,308.49,322.11,1790370000,32619681420
"10-08-2018",365.78,367.05,329.59,334.18,1699400000,33834485092
"09-08-2018",356.97,370.95,353.61,365.59,1616610000,37007391031
"08-08-2018",379.89,380.67,353.73,356.61,2016080000,36091566801
"07-08-2018",406.8,411.4,376.08,380.21,1828350000,38472420233
"06-08-2018",410.57,414.54,403.31,406.66,1384880000,41139790462
"05-08-2018",407.35,413.72,402.43,410.52,1396820000,41521715110
"04-08-2018",418.24,420.19,403.78,407.25,1466540000,41183215694
"03-08-2018",412.57,420.55,399.91,418.26,1722340000,42287977978
"02-08-2018",420.81,425.03,410.31,412.62,1569300000,41709183608
"01-08-2018",433.87,435.46,410.46,420.75,1888060000,42521937218
"31-07-2018",457.25,457.25,430.44,433.87,1820680000,43839034237
"30-07-2018",466.83,467.95,448.64,457.08,2141590000,46175217427
"29-07-2018",466.92,470.36,462.71,466.67,1631910016,47133881666
"28-07-2018",469.68,471.59,462.99,466.9,1531890048,47147853886
"27-07-2018",464.01,473.22,458.29,469.67,1734259968,47417755376
"26-07-2018",472.33,483.7,461.42,464.04,1621560064,46839932193
"25-07-2018",479.91,482.87,466.47,472.49,1930780032,47683830874
"24-07-2018",451.14,481.14,450.57,479.37,2287520000,48368209917
"23-07-2018",459.44,469.77,449.73,450.85,1596999936,45481301491
"22-07-2018",462.44,470.9,458.12,459.66,1338589952,46360029757
"21-07-2018",450.68,468.08,445.78,462.44,1504310016,46630720739
"20-07-2018",469.31,469.31,443.69,450.7,1821350016,45437819522
"19-07-2018",480.63,483.24,465.14,469.62,2068739968,47335899963
"18-07-2018",500.84,513.43,474.36,480.51,2371559936,48424155624
"17-07-2018",480.08,508.78,468.92,501.0,2288100096,50478766285
"16-07-2018",450.42,480.66,446.8,480.66,1858680064,48419026521
"15-07-2018",435.88,454.0,433.92,449.85,1350160000,45306414380
"14-07-2018",434.51,439.43,431.47,436.09,1235820032,43911193561
"13-07-2018",430.74,442.36,430.74,434.03,1489670016,43694988769
"12-07-2018",446.5,446.5,422.81,430.07,1495440000,43288294177
"11-07-2018",434.52,447.32,429.51,446.52,1422470016,44934271235
"10-07-2018",476.16,478.32,433.96,434.42,1789069952,43708241775
"09-07-2018",488.88,490.85,475.17,476.68,1533799936,47950212027
"08-07-2018",492.07,503.2,488.42,489.12,1344560000,49191161178
"07-07-2018",474.06,491.66,466.84,491.66,1358360064,49436674025
"06-07-2018",474.36,479.65,457.61,474.01,1627609984,47652424064
"05-07-2018",467.29,483.23,464.63,474.41,1828610048,47682968020
"04-07-2018",464.15,481.44,455.18,467.32,1549769984,46960391871
